Objects
100
,,Global Angle (Quaternion) nicococo:nicococo,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,0.057325,-0.029315,0.140641,0.987965,-37.310230,-5.231426,255.401428
2,0,0.057689,-0.028832,0.139365,0.988139,-38.242840,-6.964575,254.834412
3,0,0.057815,-0.028217,0.137898,0.988355,-39.226658,-8.671438,254.137360
4,0,0.057635,-0.027782,0.135979,0.988644,-40.196507,-10.474489,253.432419
5,0,0.057585,-0.026772,0.133854,0.988964,-41.108330,-12.354336,252.813965
6,0,0.057643,-0.025971,0.131287,0.989326,-42.060028,-14.278491,252.274216
7,0,0.058043,-0.024931,0.128635,0.989678,-43.055573,-16.259695,251.752197
8,0,0.058206,-0.023785,0.125900,0.990048,-44.092525,-18.249372,251.131775
9,0,0.058355,-0.022840,0.123154,0.990407,-45.105915,-20.200031,250.377594
10,0,0.058349,-0.021915,0.120336,0.990775,-46.047443,-22.084991,249.532211
11,0,0.058383,-0.020876,0.118039,0.991071,-46.983238,-24.051363,248.748459
12,0,0.058821,-0.019636,0.116034,0.991308,-47.863781,-26.036459,248.019196
13,0,0.059294,-0.018472,0.114266,0.991507,-48.754986,-28.036711,247.289352
14,0,0.060363,-0.017344,0.112901,0.991619,-49.675644,-29.982492,246.428207
15,0,0.060965,-0.016247,0.111924,0.991712,-50.559200,-31.911686,245.424011
16,0,0.061632,-0.015088,0.111498,0.991737,-51.409195,-33.876503,244.393112
17,0,0.062250,-0.013795,0.111224,0.991748,-52.169716,-35.909073,243.411636
18,0,0.062787,-0.012233,0.110968,0.991763,-52.960194,-37.989765,242.485138
19,0,0.063428,-0.010175,0.110691,0.991777,-53.811691,-40.134922,241.684280
20,0,0.063956,-0.007745,0.110134,0.991827,-54.684174,-42.233849,240.903961
21,0,0.064101,-0.005550,0.109168,0.991939,-55.546459,-44.288204,240.114655
22,0,0.064036,-0.003199,0.107670,0.992117,-56.372551,-46.354168,239.371475
23,0,0.063919,-0.000453,0.106083,0.992301,-57.215511,-48.507900,238.811859
24,0,0.064775,0.000464,0.101923,0.992681,-58.233044,-50.390778,238.135376
25,0,0.064816,0.002808,0.099043,0.992966,-59.104858,-52.511799,237.834305
26,0,0.064603,0.005100,0.095924,0.993277,-59.983299,-54.576847,237.661438
27,0,0.064011,0.006789,0.092739,0.993608,-60.810570,-56.547886,237.564743
28,0,0.063130,0.007949,0.089761,0.993929,-61.617908,-58.438560,237.539551
29,0,0.062140,0.009072,0.087386,0.994193,-62.380699,-60.347317,237.608032
30,0,0.061664,0.009824,0.085322,0.994395,-63.183189,-62.278339,237.651230
31,0,0.061643,0.008532,0.082632,0.994635,-63.994446,-63.902885,237.476913
32,0,0.061326,0.009224,0.081807,0.994717,-64.603645,-65.678238,237.514633
33,0,0.061348,0.009596,0.081264,0.994756,-65.112030,-67.372559,237.471634
34,0,0.061445,0.009986,0.081144,0.994756,-65.530418,-69.076843,237.472626
35,0,0.061599,0.010170,0.080990,0.994758,-65.894966,-70.764030,237.499176
36,0,0.061767,0.010559,0.080939,0.994747,-66.276077,-72.514351,237.648804
37,0,0.061741,0.010736,0.080431,0.994788,-66.618607,-74.212631,237.765335
38,0,0.061686,0.010587,0.079666,0.994855,-66.925369,-75.812340,237.925797
39,0,0.061109,0.010072,0.078352,0.995000,-67.156853,-77.338623,238.099991
40,0,0.060675,0.009810,0.077193,0.995120,-67.367714,-78.900406,238.406601
41,0,0.060005,0.009229,0.075751,0.995277,-67.590317,-80.422379,238.730331
42,0,0.059408,0.008292,0.074248,0.995434,-67.805374,-81.881973,239.026917
43,0,0.059019,0.006969,0.072682,0.995583,-68.005539,-83.265060,239.208725
44,0,0.058616,0.005274,0.071187,0.995725,-68.146172,-84.555878,239.296783
45,0,0.058420,0.003784,0.070062,0.995823,-68.205406,-85.808380,239.303848
46,0,0.058599,0.002541,0.069142,0.995881,-68.193718,-87.011497,239.226013
47,0,0.059062,0.001804,0.068556,0.995896,-68.131798,-88.139320,239.085175
48,0,0.059798,0.001371,0.068173,0.995879,-68.041527,-89.169113,238.875641
49,0,0.060315,0.000659,0.067940,0.995864,-67.913864,-90.078209,238.537155
50,0,0.061045,-0.001061,0.067485,0.995851,-67.713249,-90.734367,237.956635
51,0,0.061175,-0.001280,0.068165,0.995796,-67.484039,-91.525970,237.608276
52,0,0.061108,-0.001329,0.069094,0.995736,-67.219810,-92.236832,237.312744
53,0,0.060973,-0.000975,0.070291,0.995661,-66.983467,-92.876923,237.057602
54,0,0.060741,-0.000730,0.071703,0.995575,-66.779785,-93.475945,236.760117
55,0,0.060384,-0.000359,0.073375,0.995475,-66.606155,-94.028343,236.401321
56,0,0.060029,0.000008,0.075201,0.995360,-66.443275,-94.559509,235.994705
57,0,0.059817,0.000454,0.077284,0.995213,-66.300072,-95.133286,235.570984
58,0,0.059808,0.001124,0.079393,0.995047,-66.188934,-95.752899,235.170410
59,0,0.060071,0.002036,0.081447,0.994864,-66.142609,-96.450966,234.809631
60,0,0.060514,0.002781,0.083163,0.994693,-66.145103,-97.112000,234.368332
61,0,0.060914,0.003425,0.084424,0.994560,-66.193916,-97.767151,233.889801
62,0,0.061499,0.004202,0.085469,0.994432,-66.216171,-98.486778,233.438034
63,0,0.062153,0.004688,0.085790,0.994362,-66.229149,-99.207649,233.039108
64,0,0.062903,0.005557,0.085688,0.994319,-66.244949,-99.974800,232.806656
65,0,0.063465,0.006235,0.084876,0.994349,-66.275475,-100.711601,232.681717
66,0,0.063632,0.006594,0.083632,0.994441,-66.325439,-101.371857,232.610962
67,0,0.063464,0.006660,0.081967,0.994590,-66.362839,-101.956169,232.596252
68,0,0.063051,0.006590,0.080420,0.994743,-66.393448,-102.514824,232.656082
69,0,0.062730,0.006168,0.078921,0.994886,-66.362885,-103.079781,232.783081
70,0,0.062469,0.005760,0.077645,0.995005,-66.256096,-103.682709,233.002823
71,0,0.062661,0.005192,0.076545,0.995082,-66.127106,-104.213486,233.211395
72,0,0.062864,0.004324,0.075541,0.995150,-65.968903,-104.644394,233.298279
73,0,0.063281,0.003545,0.074812,0.995181,-65.786285,-105.000793,233.268066
74,0,0.063784,0.002764,0.074479,0.995177,-65.576637,-105.301872,233.158432
75,0,0.064453,0.002207,0.074633,0.995124,-65.317688,-105.598076,233.112061
76,0,0.064863,0.001514,0.075174,0.995057,-65.039307,-105.843704,233.054245
77,0,0.065034,0.000934,0.076085,0.994978,-64.729805,-106.034241,232.930099
78,0,0.065060,0.000683,0.077283,0.994884,-64.428810,-106.163872,232.668152
79,0,0.064900,0.000774,0.078607,0.994791,-64.152916,-106.248726,232.290588
80,0,0.064800,0.001257,0.080195,0.994670,-63.880669,-106.346436,231.858444
81,0,0.064719,0.002179,0.081782,0.994544,-63.634872,-106.504959,231.474274
82,0,0.064779,0.003013,0.082951,0.994441,-63.396484,-106.720009,231.123398
83,0,0.064570,0.003536,0.083447,0.994412,-63.196129,-106.954941,230.782303
84,0,0.064493,0.004181,0.083510,0.994409,-63.080662,-107.210068,230.455170
85,0,0.064455,0.004562,0.083241,0.994432,-63.012718,-107.482681,230.113892
86,0,0.064156,0.004661,0.082454,0.994517,-62.997280,-107.838158,229.798508
87,0,0.064117,0.004700,0.081569,0.994592,-63.038616,-108.302681,229.595581
88,0,0.064133,0.004314,0.080368,0.994691,-63.103355,-108.819366,229.495117
89,0,0.063981,0.003781,0.078917,0.994819,-63.200577,-109.332390,229.417236
90,0,0.063997,0.003144,0.077434,0.994936,-63.316784,-109.776855,229.283279
91,0,0.063912,0.002607,0.076031,0.995052,-63.416889,-110.235382,229.107956
92,0,0.063851,0.002365,0.074898,0.995142,-63.470005,-110.734894,228.984741
93,0,0.063817,0.002280,0.074133,0.995202,-63.492970,-111.250473,228.928253
