Objects
100
,,Global Angle (Quaternion) nicococo:nicococo,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,0.015448,0.083962,-0.043342,0.995406,45.556141,-134.042038,380.904877
2,0,0.016785,0.083401,-0.042099,0.995485,44.940071,-134.563095,379.378998
3,0,0.018100,0.082868,-0.040889,0.995557,44.344193,-135.127716,377.842468
4,0,0.019420,0.082390,-0.039641,0.995622,43.758263,-135.709625,376.314240
5,0,0.020650,0.081866,-0.038614,0.995681,43.182308,-136.296921,374.796753
6,0,0.021911,0.081253,-0.037682,0.995740,42.602207,-136.888077,373.287994
7,0,0.022942,0.080704,-0.037147,0.995781,42.043381,-137.480820,371.785919
8,0,0.023742,0.080182,-0.036940,0.995813,41.521095,-138.089691,370.298584
9,0,0.024225,0.079697,-0.037037,0.995836,41.018875,-138.701935,368.842102
10,0,0.024381,0.079256,-0.037543,0.995849,40.499401,-139.310440,367.428467
11,0,0.024137,0.078696,-0.038338,0.995869,39.986229,-139.920410,366.053040
12,0,0.023640,0.078319,-0.039074,0.995882,39.468014,-140.533798,364.727783
13,0,0.022839,0.077992,-0.039758,0.995899,38.962349,-141.192291,363.494263
14,0,0.022147,0.077690,-0.040399,0.995913,38.443783,-141.878082,362.348572
15,0,0.021215,0.077399,-0.040989,0.995931,37.934826,-142.645096,361.330414
16,0,0.020546,0.077199,-0.041295,0.995948,37.414516,-143.469894,360.395447
17,0,0.020070,0.076966,-0.041512,0.995967,36.879200,-144.381195,359.534546
18,0,0.019710,0.076642,-0.041358,0.996006,36.318886,-145.369965,358.746735
19,0,0.019740,0.076194,-0.040948,0.996056,35.721825,-146.437485,358.072449
20,0,0.019870,0.075745,-0.040128,0.996121,35.104279,-147.592865,357.495850
21,0,0.020106,0.075248,-0.038886,0.996203,34.450275,-148.825607,357.036316
22,0,0.020476,0.074738,-0.037234,0.996297,33.770576,-150.112793,356.686951
23,0,0.021030,0.074287,-0.035191,0.996394,33.081036,-151.426376,356.451630
24,0,0.021668,0.073741,-0.032856,0.996500,32.378723,-152.754608,356.331818
25,0,0.022263,0.073534,-0.030382,0.996581,31.661667,-154.094406,356.309235
26,0,0.023215,0.073502,-0.027789,0.996637,30.956715,-155.424316,356.402405
27,0,0.024140,0.073475,-0.025375,0.996682,30.267807,-156.743896,356.612762
28,0,0.025127,0.073739,-0.022894,0.996698,29.633389,-158.034378,356.934052
29,0,0.025986,0.074481,-0.020548,0.996672,29.033321,-159.289368,357.392578
30,0,0.026547,0.075491,-0.018484,0.996622,28.516569,-160.456116,357.936646
31,0,0.026963,0.076822,-0.016635,0.996541,28.077017,-161.566879,358.558411
32,0,0.027194,0.078252,-0.015196,0.996447,27.693846,-162.606705,359.243408
33,0,0.027368,0.079973,-0.013974,0.996323,27.350618,-163.564651,359.954041
34,0,0.027371,0.081668,-0.013137,0.996197,27.061834,-164.428360,360.633301
35,0,0.027355,0.083428,-0.012525,0.996060,26.809864,-165.225204,361.259766
36,0,0.027227,0.085072,-0.012178,0.995928,26.583103,-165.926559,361.825775
37,0,0.026905,0.086487,-0.011987,0.995817,26.372002,-166.542938,362.326813
38,0,0.026636,0.087830,-0.011852,0.995709,26.171173,-167.113785,362.774658
39,0,0.026409,0.088855,-0.011906,0.995623,25.981575,-167.600830,363.133484
40,0,0.026236,0.089778,-0.012055,0.995543,25.804472,-168.027252,363.396851
41,0,0.026158,0.090496,-0.012200,0.995479,25.630713,-168.399948,363.574524
42,0,0.026129,0.090962,-0.012410,0.995434,25.478443,-168.696472,363.672546
43,0,0.025859,0.091246,-0.012820,0.995410,25.333771,-168.938583,363.703430
44,0,0.025597,0.091449,-0.013400,0.995391,25.200512,-169.139267,363.656006
45,0,0.025277,0.091445,-0.014162,0.995389,25.068638,-169.299759,363.522583
46,0,0.024946,0.091220,-0.015044,0.995405,24.924604,-169.439896,363.315277
47,0,0.024655,0.090755,-0.015939,0.995440,24.768877,-169.553070,363.034546
48,0,0.024210,0.090184,-0.016690,0.995491,24.594158,-169.641434,362.682648
49,0,0.023565,0.089402,-0.017238,0.995568,24.391428,-169.719162,362.309937
50,0,0.023000,0.088466,-0.017626,0.995658,24.188150,-169.773422,361.918457
51,0,0.022525,0.087569,-0.017731,0.995746,23.973864,-169.835007,361.529968
52,0,0.022012,0.086671,-0.017643,0.995837,23.741837,-169.906235,361.165405
53,0,0.021641,0.085893,-0.017258,0.995920,23.509481,-169.972916,360.833344
54,0,0.021545,0.085140,-0.016768,0.995995,23.297426,-170.051712,360.528381
55,0,0.021702,0.084334,-0.016178,0.996070,23.090788,-170.150864,360.251831
56,0,0.021848,0.083664,-0.015561,0.996133,22.894167,-170.276871,360.005066
57,0,0.022026,0.082970,-0.014984,0.996196,22.697456,-170.413269,359.781158
58,0,0.022452,0.082263,-0.014219,0.996256,22.500206,-170.571762,359.582062
59,0,0.022986,0.081674,-0.013384,0.996304,22.326881,-170.728378,359.409637
60,0,0.023405,0.081175,-0.012454,0.996347,22.169355,-170.871933,359.252960
61,0,0.023713,0.080772,-0.011456,0.996385,22.030834,-171.025970,359.130493
62,0,0.023932,0.080442,-0.010485,0.996417,21.916677,-171.175095,359.014130
63,0,0.024229,0.080107,-0.009585,0.996446,21.832165,-171.315048,358.896637
64,0,0.024499,0.079820,-0.008777,0.996469,21.772291,-171.431168,358.773926
65,0,0.024491,0.079458,-0.008166,0.996504,21.737841,-171.526764,358.635010
66,0,0.024303,0.079078,-0.007594,0.996543,21.717196,-171.587479,358.495605
67,0,0.023991,0.078657,-0.007173,0.996587,21.719908,-171.623077,358.327637
68,0,0.023457,0.078192,-0.006785,0.996639,21.734661,-171.650833,358.138000
69,0,0.023042,0.077720,-0.006584,0.996687,21.776495,-171.661865,357.907104
70,0,0.022500,0.077206,-0.006491,0.996740,21.849367,-171.680725,357.652374
71,0,0.022005,0.076756,-0.006546,0.996786,21.948734,-171.701187,357.376740
72,0,0.021419,0.076273,-0.006747,0.996834,22.086443,-171.728546,357.073792
73,0,0.020701,0.075781,-0.006989,0.996885,22.229256,-171.771591,356.762390
