Objects
100
,,Global Angle Nico_1:Nico_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.004500,-0.072887,-0.032525,-21.488535,-62.468189,715.001709
2,0,-0.007512,-0.075799,-0.034044,-20.604223,-61.507256,714.102661
3,0,-0.010530,-0.078721,-0.035638,-19.755224,-60.484360,713.262695
4,0,-0.012316,-0.081379,-0.037878,-18.951174,-59.433273,712.485962
5,0,-0.013091,-0.084120,-0.039757,-18.228329,-58.404633,711.754395
6,0,-0.012277,-0.085490,-0.042360,-17.532337,-57.383121,711.020020
7,0,-0.010767,-0.086163,-0.044784,-16.866726,-56.374573,710.235657
8,0,-0.008400,-0.085599,-0.047570,-16.232336,-55.386005,709.373901
9,0,-0.005837,-0.083852,-0.049495,-15.620814,-54.511230,708.457947
10,0,-0.003846,-0.082015,-0.051729,-15.017925,-53.707703,707.392456
11,0,-0.002472,-0.078687,-0.053380,-14.418837,-52.982052,706.233521
12,0,-0.001033,-0.074861,-0.054471,-13.840248,-52.332516,704.969971
13,0,-0.001048,-0.070935,-0.056127,-13.282751,-51.745461,703.553345
14,0,-0.001122,-0.066426,-0.056982,-12.763327,-51.269943,702.080933
15,0,-0.002522,-0.062327,-0.058692,-12.315029,-50.811066,700.533386
16,0,-0.004222,-0.057486,-0.060033,-11.955225,-50.374519,698.961487
17,0,-0.005951,-0.053830,-0.061710,-11.679100,-49.942390,697.367065
18,0,-0.007463,-0.049454,-0.063251,-11.516171,-49.554260,695.776489
19,0,-0.009384,-0.045798,-0.064230,-11.439829,-49.196430,694.203796
20,0,-0.011746,-0.042401,-0.065103,-11.485803,-48.883064,692.682251
21,0,-0.013936,-0.039919,-0.065516,-11.640724,-48.631992,691.186340
22,0,-0.016492,-0.037642,-0.065527,-11.903393,-48.412609,689.711975
23,0,-0.019532,-0.035587,-0.065002,-12.238152,-48.267670,688.253540
24,0,-0.022701,-0.033212,-0.064739,-12.637947,-48.138000,686.827332
25,0,-0.025492,-0.031045,-0.063952,-13.116150,-48.025536,685.441406
26,0,-0.027567,-0.028097,-0.062940,-13.658587,-47.978363,684.129028
27,0,-0.030571,-0.025405,-0.061953,-14.261295,-47.952911,682.846313
28,0,-0.032306,-0.022256,-0.060359,-14.921876,-47.945839,681.601685
29,0,-0.033813,-0.019119,-0.058124,-15.632411,-47.947197,680.410095
30,0,-0.035745,-0.015904,-0.055558,-16.399437,-47.978714,679.236328
31,0,-0.037409,-0.012123,-0.052297,-17.191031,-48.044739,678.136902
32,0,-0.038859,-0.008988,-0.048833,-18.008764,-48.136921,677.063599
33,0,-0.041086,-0.005267,-0.044800,-18.844511,-48.242252,676.046448
34,0,-0.040872,-0.004104,-0.046992,-19.857616,-48.536026,675.054871
