Objects
100
,,Global Angle (Quaternion) Nico_1:Nico_1,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,0.003610,0.027532,0.004353,0.999605,-44.968357,-46.605167,234.339874
2,0,0.003388,0.026341,0.004902,0.999635,-44.601246,-47.204765,234.468735
3,0,0.003017,0.025010,0.005295,0.999669,-44.262981,-47.866856,234.588028
4,0,0.003223,0.023822,0.005731,0.999695,-43.930756,-48.599895,234.693604
5,0,0.003457,0.022552,0.005980,0.999722,-43.630520,-49.385521,234.794708
6,0,0.003774,0.021224,0.005864,0.999750,-43.360043,-50.206169,234.857040
7,0,0.003994,0.020048,0.005682,0.999775,-43.103905,-51.101868,234.870651
8,0,0.003970,0.018522,0.004883,0.999809,-42.852638,-52.051624,234.858002
9,0,0.003726,0.016681,0.003956,0.999846,-42.650455,-53.066738,234.813248
10,0,0.003506,0.014894,0.002541,0.999880,-42.473198,-54.098183,234.722229
11,0,0.004114,0.017674,0.003384,0.999830,-42.179527,-55.354778,234.884476
12,0,0.003999,0.017133,0.002369,0.999842,-42.021770,-56.497482,234.807800
13,0,0.004429,0.016840,0.000876,0.999848,-41.871204,-57.687527,234.743958
14,0,0.004486,0.016501,-0.000372,0.999854,-41.752876,-58.893200,234.638626
15,0,0.004737,0.016448,-0.001736,0.999852,-41.649090,-60.108921,234.532288
16,0,0.004319,0.016546,-0.002986,0.999849,-41.558109,-61.314251,234.399368
17,0,0.004130,0.016941,-0.004174,0.999839,-41.478584,-62.491898,234.309219
18,0,0.003249,0.017183,-0.005288,0.999833,-41.414261,-63.666164,234.259155
19,0,0.002507,0.017263,-0.006483,0.999827,-41.364948,-64.822884,234.261780
20,0,0.001848,0.017382,-0.007752,0.999817,-41.378693,-66.006523,234.310608
21,0,0.001360,0.017334,-0.009070,0.999808,-41.417572,-67.241318,234.388901
22,0,0.001331,0.017085,-0.010389,0.999799,-41.497700,-68.456749,234.455307
23,0,0.001377,0.016873,-0.011857,0.999786,-41.617069,-69.707382,234.542191
24,0,0.001760,0.016397,-0.013423,0.999774,-41.768238,-70.921585,234.691040
25,0,0.002272,0.015844,-0.015027,0.999759,-41.912476,-72.108551,234.821289
26,0,0.002875,0.015239,-0.016594,0.999742,-42.071281,-73.304214,234.952682
27,0,0.003563,0.014666,-0.017966,0.999725,-42.245358,-74.469360,235.055939
28,0,0.004372,0.014084,-0.019341,0.999704,-42.419670,-75.602707,235.115448
29,0,0.005082,0.013418,-0.020625,0.999684,-42.588966,-76.716148,235.128357
30,0,0.006315,0.013080,-0.021755,0.999658,-42.770420,-77.777046,235.105911
31,0,0.007353,0.012637,-0.022794,0.999633,-42.968559,-78.794327,235.089294
32,0,0.008226,0.012191,-0.023825,0.999608,-43.154236,-79.741562,235.000748
33,0,0.009125,0.012020,-0.024671,0.999582,-43.328812,-80.628777,234.879807
34,0,0.009625,0.011844,-0.025506,0.999558,-43.508099,-81.472885,234.731094
35,0,0.009928,0.011843,-0.026076,0.999541,-43.683384,-82.288811,234.584824
36,0,0.010186,0.012088,-0.026395,0.999527,-43.861626,-83.031136,234.468750
37,0,0.010490,0.012287,-0.026751,0.999512,-44.032585,-83.669403,234.340790
38,0,0.010702,0.012636,-0.026783,0.999504,-44.233521,-84.242943,234.185226
