Objects
240
,,Global Angle (Quaternion) boxbox:boxbox,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,0.000384,0.002902,-0.014371,0.999892,1378.597778,-64.621384,1069.331665
2,0,0.000591,0.002922,-0.014860,0.999885,1378.614258,-64.579056,1069.415771
3,0,0.000842,0.002959,-0.015289,0.999878,1378.634399,-64.547012,1069.485840
4,0,0.001148,0.002980,-0.015801,0.999870,1378.644165,-64.495789,1069.535278
5,0,0.001363,0.003104,-0.016264,0.999862,1378.644897,-64.465309,1069.602173
6,0,0.001562,0.003172,-0.016723,0.999854,1378.650879,-64.426033,1069.648071
7,0,0.001781,0.003263,-0.017175,0.999846,1378.639771,-64.394020,1069.680908
8,0,0.001927,0.003381,-0.017677,0.999836,1378.632568,-64.381981,1069.722778
9,0,0.002107,0.003454,-0.018095,0.999828,1378.622559,-64.359818,1069.748901
10,0,0.002227,0.003463,-0.018617,0.999818,1378.615356,-64.348946,1069.760254
11,0,0.002467,0.003424,-0.018988,0.999811,1378.589478,-64.334961,1069.762695
12,0,0.002521,0.003381,-0.019524,0.999800,1378.565674,-64.340614,1069.770752
13,0,0.002646,0.003290,-0.019949,0.999792,1378.526978,-64.381699,1069.802612
14,0,0.002903,0.003129,-0.020301,0.999785,1378.507324,-64.372559,1069.776733
15,0,0.003020,0.002984,-0.020796,0.999775,1378.465576,-64.422371,1069.788330
16,0,0.003289,0.002770,-0.021117,0.999768,1378.423706,-64.463234,1069.783203
17,0,0.003432,0.002592,-0.021483,0.999760,1378.379883,-64.498283,1069.777832
18,0,0.003636,0.002310,-0.021927,0.999750,1378.329956,-64.579079,1069.778809
19,0,0.003793,0.002092,-0.022239,0.999743,1378.296509,-64.631973,1069.773193
20,0,0.003935,0.001823,-0.022663,0.999734,1378.248901,-64.717110,1069.783691
21,0,0.004046,0.001668,-0.022957,0.999727,1378.220581,-64.786331,1069.786865
22,0,0.004193,0.001455,-0.023343,0.999718,1378.180786,-64.889130,1069.800537
23,0,0.004347,0.001346,-0.023626,0.999710,1378.147217,-64.988503,1069.798340
24,0,0.004422,0.001257,-0.023934,0.999703,1378.111084,-65.115242,1069.819214
25,0,0.004474,0.001306,-0.024258,0.999695,1378.074829,-65.267036,1069.864624
26,0,0.004595,0.001335,-0.024531,0.999688,1378.052246,-65.405350,1069.885864
27,0,0.004792,0.001371,-0.024686,0.999683,1378.049561,-65.545517,1069.900269
28,0,0.004846,0.001609,-0.024833,0.999679,1378.028076,-65.740456,1069.954468
29,0,0.004977,0.001766,-0.025055,0.999672,1378.011719,-65.937241,1069.988892
30,0,0.005025,0.002003,-0.025301,0.999665,1378.014526,-66.162621,1070.048828
31,0,0.005141,0.002255,-0.025481,0.999660,1378.015625,-66.401016,1070.103638
32,0,0.005256,0.002550,-0.025621,0.999655,1378.042603,-66.608925,1070.123169
33,0,0.005308,0.002892,-0.025745,0.999650,1378.065796,-66.848236,1070.177002
34,0,0.005339,0.003281,-0.025799,0.999647,1378.087402,-67.092018,1070.223022
35,0,0.005368,0.003613,-0.025932,0.999643,1378.122192,-67.353775,1070.269409
36,0,0.005417,0.003955,-0.026015,0.999639,1378.151123,-67.643921,1070.325195
37,0,0.005472,0.004341,-0.026046,0.999636,1378.178833,-67.926399,1070.370728
38,0,0.005658,0.004626,-0.026073,0.999633,1378.200806,-68.223152,1070.401978
39,0,0.005717,0.004845,-0.026163,0.999630,1378.219482,-68.544548,1070.445435
40,0,0.005765,0.005067,-0.026189,0.999628,1378.243652,-68.863091,1070.491577
41,0,0.005861,0.005201,-0.026295,0.999624,1378.254028,-69.185410,1070.506714
42,0,0.005906,0.005344,-0.026360,0.999621,1378.269165,-69.503082,1070.511230
43,0,0.005907,0.005396,-0.026436,0.999618,1378.292603,-69.833206,1070.514038
44,0,0.005973,0.005382,-0.026439,0.999618,1378.302490,-70.140488,1070.485352
45,0,0.005961,0.005350,-0.026475,0.999617,1378.292480,-70.490364,1070.478271
46,0,0.006031,0.005285,-0.026510,0.999616,1378.266479,-70.835266,1070.462891
47,0,0.006029,0.005081,-0.026646,0.999614,1378.254028,-71.190392,1070.446167
48,0,0.005999,0.004906,-0.026733,0.999613,1378.242676,-71.541336,1070.427124
49,0,0.005983,0.004687,-0.026816,0.999611,1378.242310,-71.857712,1070.383911
50,0,0.006020,0.004520,-0.026861,0.999611,1378.250610,-72.159012,1070.296997
51,0,0.005857,0.004373,-0.026960,0.999610,1378.255493,-72.507416,1070.256104
52,0,0.005806,0.004257,-0.026972,0.999610,1378.268799,-72.809616,1070.196167
53,0,0.005626,0.004121,-0.027077,0.999609,1378.278076,-73.158592,1070.164673
54,0,0.005606,0.004116,-0.027049,0.999610,1378.329346,-73.445763,1070.055420
55,0,0.005488,0.003990,-0.027144,0.999609,1378.354980,-73.772354,1070.020630
56,0,0.005444,0.003917,-0.027227,0.999607,1378.390381,-74.080200,1069.945801
57,0,0.005434,0.003833,-0.027327,0.999604,1378.444946,-74.371498,1069.866455
58,0,0.005314,0.003817,-0.027445,0.999602,1378.502197,-74.664726,1069.806519
59,0,0.005127,0.003867,-0.027527,0.999600,1378.574951,-74.940521,1069.757324
60,0,0.005051,0.003815,-0.027622,0.999598,1378.636841,-75.221260,1069.688599
61,0,0.004925,0.003816,-0.027730,0.999596,1378.716797,-75.481010,1069.624146
62,0,0.004772,0.003850,-0.027860,0.999593,1378.790527,-75.745102,1069.563965
63,0,0.004675,0.003868,-0.027960,0.999591,1378.873413,-75.993835,1069.487061
64,0,0.004593,0.003851,-0.028057,0.999588,1378.946411,-76.254082,1069.421875
65,0,0.004538,0.003742,-0.028269,0.999583,1379.022827,-76.504425,1069.340942
66,0,0.004414,0.003735,-0.028409,0.999580,1379.107422,-76.744667,1069.258179
67,0,0.004310,0.003725,-0.028551,0.999576,1379.198242,-76.969208,1069.148926
68,0,0.004154,0.003734,-0.028706,0.999572,1379.274414,-77.196709,1069.044678
69,0,0.004001,0.003677,-0.028871,0.999568,1379.365479,-77.402222,1068.933838
70,0,0.003926,0.003604,-0.029060,0.999563,1379.443848,-77.592781,1068.803223
71,0,0.003726,0.003627,-0.029204,0.999560,1379.529663,-77.786507,1068.689209
72,0,0.003524,0.003545,-0.029380,0.999556,1379.609863,-77.999306,1068.574951
73,0,0.003428,0.003393,-0.029638,0.999549,1379.684326,-78.196274,1068.430176
74,0,0.003193,0.003247,-0.029791,0.999546,1379.785156,-78.377602,1068.290771
75,0,0.002997,0.003060,-0.030051,0.999539,1379.868042,-78.567772,1068.150269
76,0,0.002816,0.002845,-0.030263,0.999534,1379.945068,-78.744247,1068.008423
77,0,0.002628,0.002690,-0.030490,0.999528,1380.032959,-78.892525,1067.847290
78,0,0.002463,0.002461,-0.030834,0.999518,1380.089233,-79.068741,1067.696899
79,0,0.002271,0.002211,-0.031001,0.999514,1380.175171,-79.207153,1067.534302
80,0,0.002117,0.001951,-0.031293,0.999506,1380.241821,-79.343224,1067.365723
