Objects
100
,,Global Angle Nico_Frenchie:Nico_Frenchie,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
143,0,-0.124648,-0.014301,3.265121,-123.628044,12.929070,320.397156
144,0,-0.125319,-0.014125,3.265452,-123.761780,12.805349,320.443298
145,0,-0.126291,-0.015908,3.265279,-123.907249,12.691524,320.398834
146,0,-0.125606,-0.016197,3.264771,-124.081390,12.746749,320.566528
147,0,-0.124588,-0.016280,3.264256,-124.146637,12.745008,320.842102
148,0,-0.122845,-0.016022,3.263823,-124.122833,12.740575,321.174255
149,0,-0.121719,-0.015354,3.263626,-124.053169,12.706148,321.475922
150,0,-0.121665,-0.015067,3.263630,-123.935562,12.546921,321.658020
151,0,-0.123950,-0.013882,3.263280,-123.862312,12.323821,321.616943
152,0,-0.125589,-0.012788,3.262485,-123.831223,12.164429,321.732727
153,0,-0.126529,-0.012100,3.261148,-123.779312,11.952985,321.907532
154,0,-0.126743,-0.012131,3.259710,-123.704964,11.661922,322.117096
155,0,-0.125425,-0.012703,3.257960,-123.579216,11.394721,322.311584
156,0,-0.122363,-0.014146,3.256297,-123.443817,11.281540,322.456024
157,0,-0.120019,-0.014994,3.255140,-123.355522,11.163038,322.513153
158,0,-0.120365,-0.014527,3.253929,-123.311676,10.969673,322.517548
159,0,-0.121876,-0.013618,3.253026,-123.196800,10.613307,322.612061
160,0,-0.118962,-0.018289,3.251225,-122.952538,10.275303,323.035919
161,0,-0.118716,-0.018730,3.249992,-122.709389,9.807238,323.388947
162,0,-0.117939,-0.019182,3.248559,-122.498604,9.497778,323.665192
163,0,-0.115587,-0.019183,3.247090,-122.431763,9.294717,323.896942
164,0,-0.112595,-0.019339,3.245551,-122.446091,9.208883,323.955444
165,0,-0.109969,-0.019190,3.244276,-122.447578,9.030874,323.834106
166,0,-0.108441,-0.018240,3.243309,-122.346603,8.739809,323.779480
167,0,-0.107300,-0.016280,3.242506,-122.168365,8.533466,324.090027
168,0,-0.110857,-0.022354,3.240757,-121.881180,8.414338,324.718750
169,0,-0.104644,-0.013353,3.240310,-121.654602,8.182076,325.340118
170,0,-0.105893,-0.011687,3.239620,-121.588913,7.911134,325.425873
171,0,-0.106168,-0.010070,3.239047,-121.659286,7.600050,325.299866
172,0,-0.106157,-0.008938,3.238477,-121.797928,7.398484,325.100769
173,0,-0.105520,-0.008291,3.238044,-122.023743,7.286202,325.007782
174,0,-0.105056,-0.008177,3.237340,-122.152153,7.314729,325.087433
175,0,-0.105243,-0.007647,3.236738,-122.134468,7.306149,325.487152
176,0,-0.105678,-0.005680,3.236378,-121.971970,7.126856,326.097290
177,0,-0.106387,-0.003305,3.236165,-121.882210,6.763525,326.682068
178,0,-0.105908,-0.001599,3.235970,-121.850525,6.473458,327.077087
179,0,-0.104832,-0.000335,3.235575,-121.934212,6.354883,327.142090
180,0,-0.103036,0.000509,3.235091,-122.063210,6.406205,326.986572
181,0,-0.101243,0.000779,3.234444,-122.202271,6.556597,326.884003
182,0,-0.100968,0.001542,3.234326,-122.423866,6.577800,326.903076
183,0,-0.102863,0.004038,3.234336,-122.601357,6.485171,327.068604
184,0,-0.104706,0.006797,3.234762,-122.695389,6.373728,327.457062
185,0,-0.105847,0.008971,3.234997,-122.757370,6.212597,327.833954
186,0,-0.105611,0.010337,3.235432,-122.830109,6.111071,328.198853
187,0,-0.104718,0.010833,3.235741,-123.085670,6.199610,328.585907
188,0,-0.103300,0.010032,3.235810,-123.365311,6.473487,328.822784
189,0,-0.102613,0.008781,3.235908,-123.703499,6.751787,329.025208
190,0,-0.104452,0.008902,3.236131,-123.963936,6.984691,329.066467
191,0,-0.108099,0.012512,3.237022,-124.149635,6.990641,329.024780
192,0,-0.111868,0.018174,3.238457,-124.323463,6.898847,329.008118
193,0,-0.114376,0.023577,3.240036,-124.437057,6.886180,329.139648
194,0,-0.114323,0.026238,3.241012,-124.598427,7.000316,329.404816
195,0,-0.113248,0.026651,3.241444,-124.757713,7.251106,329.643555
196,0,-0.112321,0.026200,3.241536,-124.923790,7.498723,329.886169
197,0,-0.112672,0.025675,3.241377,-125.124557,7.770844,330.101746
198,0,-0.114304,0.025765,3.241323,-125.307693,7.920968,330.228699
199,0,-0.117495,0.027221,3.241479,-125.445816,7.925702,330.206482
200,0,-0.121176,0.030147,3.241897,-125.508667,7.817928,330.177582
201,0,-0.123744,0.033968,3.242632,-125.517860,7.675067,330.332977
202,0,-0.124977,0.036152,3.242695,-125.460876,7.632641,330.673035
203,0,-0.123712,0.036052,3.242510,-125.427948,7.638348,331.105347
204,0,-0.122646,0.034607,3.241663,-125.368073,7.645399,331.478210
205,0,-0.122915,0.033571,3.240381,-125.290260,7.671258,331.699493
206,0,-0.124336,0.033340,3.239051,-125.198944,7.671512,331.836243
207,0,-0.126956,0.034329,3.237933,-125.123962,7.591968,332.071716
208,0,-0.129528,0.035988,3.237263,-125.040817,7.344341,332.242188
209,0,-0.131053,0.038297,3.237036,-124.876694,7.016371,332.373383
210,0,-0.131069,0.038822,3.236758,-124.701889,6.701476,332.595490
211,0,-0.129830,0.037715,3.236064,-124.468414,6.472588,332.940216
212,0,-0.127948,0.035053,3.234852,-124.248894,6.345856,333.313446
213,0,-0.126377,0.032249,3.233721,-124.070152,6.209988,333.647980
214,0,-0.126394,0.031496,3.232749,-123.984314,6.089721,333.877655
215,0,-0.127137,0.032613,3.232211,-123.879105,5.964269,333.919220
216,0,-0.127806,0.034295,3.231974,-123.737854,5.748736,333.843109
217,0,-0.128936,0.035018,3.231823,-123.653297,5.550400,333.808044
218,0,-0.129800,0.035824,3.231567,-123.555328,5.309072,333.889160
219,0,-0.130464,0.035282,3.231044,-123.483688,5.145583,334.074158
220,0,-0.130466,0.034021,3.230485,-123.423836,4.984535,334.347290
221,0,-0.130167,0.033023,3.229913,-123.313507,4.894083,334.510498
222,0,-0.129379,0.032907,3.229743,-123.236275,4.940042,334.484619
223,0,-0.128741,0.034644,3.230003,-123.233215,4.970840,334.272339
224,0,-0.127593,0.037340,3.230622,-123.267105,4.965183,333.964844
225,0,-0.126489,0.040752,3.231256,-123.276024,4.936356,333.628967
226,0,-0.125787,0.044121,3.231324,-123.139488,4.910551,333.352600
227,0,-0.125253,0.047665,3.231089,-123.009155,4.910838,333.240662
228,0,-0.124442,0.051047,3.230486,-122.833717,5.069207,333.270386
229,0,-0.123329,0.054330,3.229782,-122.739174,5.276889,333.270935
230,0,-0.122182,0.057725,3.229269,-122.680557,5.471335,333.095917
231,0,-0.121435,0.061060,3.229059,-122.630524,5.567717,332.788910
232,0,-0.121990,0.063853,3.228929,-122.615074,5.579970,332.415955
233,0,-0.122850,0.066547,3.228820,-122.584099,5.539647,332.134949
234,0,-0.124156,0.069887,3.229251,-122.496033,5.656661,332.476410
235,0,-0.128355,0.064189,3.228358,-122.354561,5.803911,332.813751
236,0,-0.127617,0.067786,3.228179,-122.304245,5.915657,332.958435
237,0,-0.125893,0.070368,3.228287,-122.273079,6.015640,333.039703
238,0,-0.123912,0.072565,3.228755,-122.242905,6.071455,333.027985
239,0,-0.121548,0.074561,3.229229,-122.187622,6.105580,333.015198
240,0,-0.119698,0.075581,3.229776,-122.111771,6.156413,333.040833
241,0,-0.119445,0.074921,3.230161,-122.018799,6.222530,333.094421
242,0,-0.120464,0.073337,3.230217,-121.968910,6.282615,333.221558
243,0,-0.121128,0.073066,3.229971,-121.895332,6.302760,333.484131
244,0,-0.120667,0.074557,3.229489,-121.827957,6.265749,333.751526
245,0,-0.119078,0.076353,3.229033,-121.747780,6.296783,334.010712
246,0,-0.117706,0.077857,3.228485,-121.644051,6.414260,334.188019
247,0,-0.116672,0.078716,3.227685,-121.512825,6.538499,334.310181
248,0,-0.115990,0.078964,3.226768,-121.428200,6.585854,334.495544
249,0,-0.116410,0.078220,3.225498,-121.380241,6.482126,334.690826
250,0,-0.118404,0.077508,3.224173,-121.261955,6.263646,334.811920
251,0,-0.119883,0.076680,3.222893,-121.061279,6.053190,334.947876
252,0,-0.118749,0.073980,3.221521,-120.801140,5.974162,335.150940
253,0,-0.114612,0.070020,3.220387,-120.571640,5.983507,335.413696
254,0,-0.110083,0.066709,3.219407,-120.438416,6.024681,335.629303
255,0,-0.106770,0.065297,3.218236,-120.328178,6.007223,335.736786
256,0,-0.104720,0.064960,3.216429,-120.150620,5.996832,335.776276
257,0,-0.103570,0.064018,3.214325,-119.875854,5.955486,335.777435
258,0,-0.102894,0.063146,3.212099,-119.632477,5.810723,335.804932
259,0,-0.102482,0.062245,3.210033,-119.432831,5.642272,335.811859
260,0,-0.101239,0.061741,3.208042,-119.310799,5.452008,335.840393
261,0,-0.098466,0.058984,3.206091,-119.175919,5.342672,335.839203
262,0,-0.095184,0.054882,3.203966,-119.026703,5.278799,335.895782
263,0,-0.091069,0.050680,3.201955,-118.831291,5.241129,335.981689
