Objects
100
,,Global Angle (Quaternion) nicococo:nicococo,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,-0.010726,0.016062,0.025241,0.999495,-58.946125,-83.351730,299.881744
2,0,-0.008762,0.017703,0.026490,0.999454,-58.575497,-83.642181,298.933014
3,0,-0.007108,0.019113,0.027812,0.999405,-58.174942,-84.005150,298.094147
4,0,-0.005850,0.020253,0.029254,0.999350,-57.752392,-84.434860,297.412201
5,0,-0.005015,0.021098,0.030797,0.999290,-57.332085,-84.918518,296.914642
6,0,-0.004392,0.021661,0.032444,0.999229,-56.897411,-85.507805,296.603546
7,0,-0.004100,0.021902,0.033979,0.999174,-56.458538,-86.197151,296.413788
8,0,-0.004124,0.021960,0.035432,0.999122,-56.025387,-86.975471,296.384644
9,0,-0.004205,0.021746,0.036506,0.999088,-55.586655,-87.774879,296.457520
10,0,-0.004517,0.021268,0.037223,0.999070,-55.151348,-88.666130,296.649506
11,0,-0.004885,0.020645,0.037695,0.999064,-54.727951,-89.602196,296.908447
12,0,-0.005167,0.019720,0.037793,0.999078,-54.313713,-90.585846,297.222778
13,0,-0.005803,0.018606,0.037412,0.999110,-53.925819,-91.559700,297.590363
14,0,-0.006506,0.017555,0.036665,0.999152,-53.563305,-92.541084,297.968475
15,0,-0.007480,0.015745,0.035731,0.999209,-53.214275,-93.584198,298.276276
16,0,-0.004250,0.015980,0.034467,0.999269,-52.855659,-94.571304,298.775818
17,0,-0.003544,0.014410,0.033290,0.999336,-52.518456,-95.593826,299.097534
18,0,-0.004297,0.013856,0.031519,0.999398,-52.181450,-96.488655,299.588165
19,0,-0.003980,0.012521,0.030070,0.999461,-51.796356,-97.399536,299.942596
20,0,-0.003886,0.011467,0.028668,0.999516,-51.375648,-98.281525,300.264130
21,0,-0.003499,0.010204,0.027390,0.999567,-50.951027,-99.127747,300.522339
22,0,-0.002945,0.009099,0.026180,0.999612,-50.489056,-99.934265,300.728333
23,0,-0.002108,0.007951,0.025147,0.999650,-49.999264,-100.694397,300.890045
24,0,-0.001204,0.006802,0.024234,0.999682,-49.500050,-101.406540,300.983337
25,0,-0.000020,0.005640,0.023608,0.999705,-48.952717,-102.086273,301.028473
26,0,-0.000087,0.006237,0.022517,0.999727,-48.410744,-102.644394,301.240631
27,0,0.000867,0.005588,0.022351,0.999734,-47.818687,-103.234154,301.234131
28,0,0.001865,0.004970,0.022388,0.999735,-47.231785,-103.769600,301.177490
29,0,0.002943,0.004672,0.022653,0.999728,-46.651012,-104.310318,301.148376
30,0,0.004144,0.004388,0.023057,0.999716,-46.084019,-104.768883,301.140289
31,0,0.004760,0.004093,0.023202,0.999711,-45.543770,-105.133667,301.176666
32,0,0.005432,0.003901,0.023436,0.999703,-45.002518,-105.466499,301.246796
33,0,0.005844,0.003775,0.023731,0.999694,-44.477215,-105.761513,301.362213
34,0,0.006301,0.003548,0.024075,0.999684,-43.998638,-106.002045,301.458649
35,0,0.006740,0.003396,0.024413,0.999673,-43.541653,-106.228020,301.600769
36,0,0.007162,0.003200,0.024756,0.999663,-43.136501,-106.441635,301.781158
37,0,0.007543,0.002926,0.025215,0.999649,-42.784588,-106.648911,302.049316
38,0,0.007747,0.002448,0.025523,0.999641,-42.482422,-106.814087,302.380188
39,0,0.007821,0.001965,0.025684,0.999638,-42.232662,-106.948700,302.762024
40,0,0.007992,0.001299,0.025603,0.999639,-42.034138,-107.076927,303.136780
41,0,0.008178,0.000586,0.025406,0.999644,-41.870243,-107.202171,303.485657
42,0,0.008487,-0.000110,0.024940,0.999653,-41.745468,-107.304893,303.803467
43,0,0.012077,0.002481,0.025306,0.999604,-41.499432,-107.689377,304.619812
44,0,0.012779,0.001743,0.024399,0.999619,-41.379753,-107.766785,304.906372
45,0,0.013534,0.001270,0.023555,0.999630,-41.263756,-107.836609,305.178192
46,0,0.014490,0.000906,0.022728,0.999636,-41.132179,-107.873367,305.422180
47,0,0.015363,0.000533,0.022067,0.999638,-40.972427,-107.929260,305.633820
48,0,0.016341,0.000248,0.021437,0.999637,-40.795319,-107.952705,305.830048
49,0,0.016912,0.000010,0.020961,0.999637,-40.608959,-107.960365,306.030731
50,0,0.017358,-0.000041,0.020840,0.999632,-40.412991,-107.956024,306.238739
51,0,0.017651,-0.000286,0.021016,0.999623,-40.223610,-107.909866,306.413147
