Objects
100
,,Global Angle (Quaternion) Nico_1:Nico_1,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,-0.011257,-0.004813,-0.011168,0.999863,-15.261089,-56.178738,217.569321
2,0,-0.011469,-0.005303,-0.011243,0.999857,-15.182837,-56.073929,217.733963
3,0,-0.011527,-0.005939,-0.011441,0.999850,-15.123918,-55.972691,217.906311
4,0,-0.011385,-0.006680,-0.011662,0.999845,-15.063243,-55.871510,218.063889
5,0,-0.011460,-0.007328,-0.011852,0.999837,-14.994032,-55.770412,218.184113
6,0,-0.011392,-0.007878,-0.012026,0.999832,-14.924414,-55.676842,218.275864
7,0,-0.011323,-0.008354,-0.012243,0.999826,-14.844314,-55.596584,218.354767
8,0,-0.011259,-0.008838,-0.012699,0.999817,-14.746626,-55.523663,218.417175
9,0,-0.011136,-0.009154,-0.013207,0.999809,-14.632198,-55.459797,218.478500
10,0,-0.010996,-0.009566,-0.013874,0.999798,-14.492975,-55.402657,218.563202
11,0,-0.010865,-0.009958,-0.014646,0.999784,-14.334602,-55.356590,218.670990
12,0,-0.010565,-0.010572,-0.015558,0.999767,-14.186029,-55.349743,218.824127
13,0,-0.009958,-0.010830,-0.016490,0.999756,-14.043571,-55.356647,218.963135
14,0,-0.009361,-0.011126,-0.017517,0.999741,-13.890596,-55.391491,219.094589
15,0,-0.008697,-0.011167,-0.018533,0.999728,-13.738478,-55.407398,219.217575
16,0,-0.008161,-0.011128,-0.019398,0.999717,-13.588630,-55.399342,219.344177
17,0,-0.007726,-0.011092,-0.020206,0.999704,-13.448961,-55.429775,219.531769
18,0,-0.007101,-0.011166,-0.021019,0.999691,-13.340084,-55.487354,219.771896
19,0,-0.006569,-0.011179,-0.021733,0.999680,-13.256985,-55.532009,219.985886
20,0,-0.006070,-0.011370,-0.022516,0.999663,-13.193698,-55.583977,220.212112
21,0,-0.005497,-0.011316,-0.023016,0.999656,-13.164306,-55.630241,220.432816
22,0,-0.004392,-0.003576,-0.018044,0.999821,-13.047653,-56.428612,221.380692
23,0,-0.003959,-0.002704,-0.018178,0.999823,-13.110202,-56.522324,221.629929
24,0,-0.003525,-0.001790,-0.018035,0.999830,-13.171597,-56.612949,221.874634
25,0,-0.002932,-0.000901,-0.017704,0.999839,-13.258552,-56.696495,222.080719
26,0,-0.002476,-0.000282,-0.017375,0.999846,-13.408440,-56.808338,222.300232
27,0,-0.001875,0.000282,-0.016942,0.999855,-13.603603,-56.909664,222.479767
28,0,-0.001377,0.000660,-0.016607,0.999861,-13.846370,-57.039043,222.676270
29,0,-0.000990,0.001091,-0.016052,0.999870,-14.132490,-57.173050,222.839188
30,0,-0.000715,0.001528,-0.015435,0.999879,-14.436841,-57.301258,222.957962
31,0,-0.000391,0.002102,-0.014870,0.999887,-14.758249,-57.414848,223.024551
32,0,-0.000303,0.002800,-0.014132,0.999896,-15.083897,-57.518627,223.052307
33,0,-0.000336,0.003599,-0.013333,0.999905,-15.440128,-57.625896,223.059021
34,0,-0.000404,0.004554,-0.012750,0.999908,-15.820216,-57.722454,223.024155
35,0,-0.000572,0.005445,-0.012049,0.999912,-16.177479,-57.830952,222.988861
36,0,-0.000820,0.006032,-0.011520,0.999915,-16.530125,-57.927986,222.943848
37,0,-0.001326,0.006587,-0.010878,0.999918,-16.915699,-58.029491,222.938782
38,0,-0.001485,0.007129,-0.010162,0.999922,-17.348639,-58.135216,222.967468
39,0,-0.001698,0.007380,-0.009598,0.999925,-17.791315,-58.227417,222.979126
40,0,-0.001844,0.007497,-0.009173,0.999928,-18.226057,-58.338139,222.977554
41,0,-0.001825,0.007890,-0.008578,0.999930,-18.675415,-58.516792,223.030289
42,0,-0.001674,0.008301,-0.008020,0.999932,-19.114946,-58.692692,223.093933
43,0,-0.001354,0.008552,-0.007619,0.999933,-19.546947,-58.863346,223.150635
44,0,-0.001233,0.008692,-0.007436,0.999934,-19.973740,-59.074287,223.221375
45,0,-0.001177,0.008948,-0.007319,0.999932,-20.386515,-59.294498,223.284622
46,0,-0.001051,0.009275,-0.007340,0.999930,-20.790981,-59.531979,223.333420
47,0,-0.001121,0.009507,-0.007396,0.999927,-21.157663,-59.768066,223.362610
48,0,-0.001083,0.009784,-0.007717,0.999922,-21.522697,-60.035870,223.398422
49,0,-0.000947,0.010160,-0.008139,0.999915,-21.894911,-60.311142,223.421661
50,0,-0.000850,0.010550,-0.008553,0.999907,-22.249195,-60.567356,223.402908
51,0,-0.000768,0.010784,-0.009077,0.999900,-22.587641,-60.816433,223.393799
52,0,-0.000791,0.010973,-0.009677,0.999893,-22.912228,-61.066708,223.386551
53,0,-0.000805,0.011162,-0.010286,0.999884,-23.241447,-61.349239,223.408600
54,0,-0.000838,0.011342,-0.010775,0.999877,-23.557112,-61.623886,223.420837
55,0,-0.001024,0.011412,-0.011360,0.999870,-23.862679,-61.880581,223.434082
56,0,-0.001292,0.011448,-0.011878,0.999863,-24.160460,-62.106667,223.420883
57,0,-0.001486,0.011653,-0.012343,0.999855,-24.479752,-62.320141,223.397171
58,0,-0.001560,0.011821,-0.012912,0.999846,-24.805384,-62.558079,223.409363
59,0,-0.001666,0.012051,-0.013257,0.999838,-25.123449,-62.772995,223.433884
60,0,-0.001849,0.012104,-0.013500,0.999834,-25.456980,-62.977730,223.477219
61,0,-0.001969,0.012163,-0.013776,0.999829,-25.783098,-63.187248,223.538315
62,0,-0.002200,0.012162,-0.013833,0.999828,-26.113041,-63.415161,223.633041
63,0,-0.002272,0.012161,-0.013890,0.999827,-26.446516,-63.641994,223.730301
64,0,-0.002536,0.011952,-0.013985,0.999828,-26.769819,-63.862816,223.814011
65,0,-0.002593,0.011726,-0.014112,0.999828,-27.100338,-64.098923,223.912338
66,0,-0.002718,0.011784,-0.014053,0.999828,-27.412861,-64.336853,224.013718
67,0,-0.002765,0.011948,-0.013992,0.999827,-27.695942,-64.560455,224.113480
68,0,-0.003008,0.011850,-0.014044,0.999827,-27.966747,-64.794472,224.210175
69,0,-0.002971,0.011879,-0.014100,0.999826,-28.209803,-65.038437,224.298737
70,0,-0.003060,0.011688,-0.014221,0.999826,-28.433653,-65.312950,224.397232
71,0,-0.003032,0.011671,-0.014329,0.999825,-28.626383,-65.600266,224.483505
72,0,-0.003116,0.011742,-0.014451,0.999822,-28.794653,-65.887070,224.548096
73,0,-0.003149,0.011751,-0.014684,0.999818,-28.935663,-66.177124,224.589523
74,0,-0.003175,0.011897,-0.015008,0.999812,-29.043545,-66.429764,224.617584
75,0,-0.003185,0.012231,-0.015318,0.999803,-29.118769,-66.651367,224.627106
76,0,-0.003079,0.012506,-0.015668,0.999794,-29.175547,-66.861732,224.629913
77,0,-0.003141,0.012744,-0.015996,0.999786,-29.215996,-67.052315,224.630264
78,0,-0.003161,0.012862,-0.016315,0.999779,-29.236658,-67.220100,224.627853
79,0,-0.003242,0.012893,-0.016652,0.999773,-29.259483,-67.367340,224.634048
80,0,-0.003175,0.012950,-0.016985,0.999767,-29.266375,-67.476913,224.648697
81,0,-0.002991,0.013043,-0.017048,0.999765,-29.263346,-67.574638,224.686554
82,0,-0.002736,0.013284,-0.017068,0.999762,-29.243570,-67.635674,224.726593
83,0,-0.002537,0.013489,-0.016964,0.999762,-29.215057,-67.674194,224.763580
84,0,-0.002250,0.013482,-0.016836,0.999765,-29.165588,-67.688057,224.786606
85,0,-0.001955,0.013725,-0.016515,0.999767,-29.101812,-67.678452,224.799805
86,0,-0.001703,0.013742,-0.016335,0.999771,-29.013233,-67.645180,224.807556
87,0,-0.001561,0.013726,-0.016081,0.999775,-28.918524,-67.598549,224.820740
88,0,-0.001347,0.013727,-0.015741,0.999781,-28.803595,-67.518410,224.856339
89,0,-0.001075,0.013775,-0.015411,0.999786,-28.686575,-67.412270,224.879608
90,0,-0.000856,0.013840,-0.015047,0.999791,-28.566462,-67.289101,224.908768
91,0,-0.000580,0.013731,-0.014688,0.999798,-28.437805,-67.145859,224.924240
92,0,-0.000281,0.013790,-0.014198,0.999804,-28.303301,-66.967224,224.926743
93,0,-0.000009,0.013750,-0.013697,0.999812,-28.160898,-66.797066,224.942505
94,0,0.000250,0.013661,-0.013170,0.999820,-28.014143,-66.614502,224.949738
95,0,0.000519,0.013506,-0.012559,0.999830,-27.862043,-66.418304,224.958115
96,0,0.000816,0.013519,-0.011989,0.999836,-27.710068,-66.235809,224.980194
97,0,0.001114,0.013480,-0.011387,0.999844,-27.564116,-66.036484,224.990784
